entity_id,state,last_changed
binary_sensor.sonoff_a4800f1e7e,off,2026-03-09T23:00:00.000Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T06:39:12.132Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T06:39:22.061Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T07:33:14.279Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T07:33:24.225Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T07:37:36.858Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T07:37:46.796Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:28:58.549Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:29:08.594Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:45:16.195Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:45:26.236Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:46:26.686Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:46:36.737Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:50:28.881Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:50:38.947Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:52:44.924Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:52:54.958Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:53:58.691Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:54:08.730Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:56:57.789Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:57:17.862Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T08:58:04.096Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T08:58:14.036Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:00:44.454Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:00:54.494Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:04:18.115Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:04:28.192Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:10:19.837Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:10:29.909Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:11:38.215Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:11:57.814Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:13:13.426Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:13:23.502Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:15:05.578Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:15:15.638Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:16:49.163Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:16:59.167Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:21:17.845Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:21:27.919Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:22:37.799Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:22:47.877Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:25:55.655Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:26:13.644Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:26:42.109Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:26:52.190Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:28:09.798Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:28:19.900Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:30:01.431Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:30:11.506Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:31:05.387Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:31:15.473Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:31:55.267Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:32:05.351Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:32:36.063Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:32:46.124Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:34:16.291Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:34:26.379Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:34:45.901Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:34:55.994Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:36:06.276Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:36:16.388Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:37:01.174Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:37:17.454Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:37:57.601Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:38:12.739Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:38:56.680Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:39:06.777Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:40:36.255Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:40:46.356Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:41:26.861Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:41:46.268Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:42:10.999Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:42:21.096Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:43:32.181Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:43:42.286Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:44:47.304Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:44:57.412Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:45:33.432Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:45:43.533Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:46:34.211Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:46:44.413Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:49:04.037Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:49:14.151Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:49:41.398Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:49:51.496Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:52:09.539Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:52:19.653Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:53:03.581Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:53:18.734Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:53:20.160Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:53:30.264Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:54:09.646Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:54:19.731Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:54:29.818Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:54:39.934Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:57:07.146Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:57:17.277Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:57:59.267Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:58:09.373Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:58:21.069Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:58:31.194Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T09:59:07.083Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T09:59:17.162Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:00:28.170Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:00:38.237Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:03:13.775Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:03:23.875Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:05:31.318Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:05:41.400Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:07:58.501Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:08:08.575Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:09:00.533Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:09:10.627Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:11:15.112Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:11:25.217Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:13:57.922Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:14:08.017Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:14:17.428Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:14:27.508Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:17:05.827Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:17:15.808Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:18:17.669Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:18:27.766Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:25:30.116Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:25:40.201Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:28:03.730Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:28:13.814Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:28:14.604Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:28:24.279Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:31:49.257Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:31:59.345Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:32:09.641Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:32:19.714Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:32:23.095Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:32:33.188Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:41:09.581Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:41:19.640Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:46:52.740Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:47:02.809Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:51:31.946Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:51:42.023Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:51:56.967Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:52:07.056Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T10:55:16.307Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T10:55:26.389Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T11:24:46.624Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T11:24:56.640Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T11:28:46.391Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T11:28:56.423Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:07:56.582Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:08:11.647Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:08:35.827Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:08:50.867Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:10:17.274Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:10:27.319Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:12:17.973Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:12:28.012Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:48:41.718Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:48:51.762Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:52:49.023Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:52:59.045Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:56:22.390Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:56:32.387Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:58:17.651Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:58:27.662Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T12:59:24.950Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T12:59:34.965Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:03:42.559Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:03:52.585Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:06:21.253Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:06:37.178Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:06:54.457Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:07:04.481Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:12:51.266Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:13:01.286Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:26:39.493Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:26:49.512Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:47:10.301Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:47:20.283Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T13:48:11.542Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T13:48:28.913Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T14:01:33.739Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T14:01:43.729Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T14:20:02.697Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T14:20:12.689Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T14:59:34.557Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T14:59:44.571Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T15:14:13.481Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T15:14:23.465Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T15:25:00.700Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T15:25:10.682Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T16:42:09.034Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T16:42:18.991Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T16:45:29.636Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T16:45:39.615Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T18:07:18.393Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T18:07:37.557Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T18:07:39.323Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T18:07:57.405Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T18:08:47.287Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T18:08:57.255Z
binary_sensor.sonoff_a4800f1e7e,on,2026-03-10T19:14:10.354Z
binary_sensor.sonoff_a4800f1e7e,off,2026-03-10T19:14:20.314Z
