entity_id,state,last_changed
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-09T23:00:00.000Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T02:29:53.204Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T02:30:03.325Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T02:56:14.069Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T02:56:24.055Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:01:36.397Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:02:03.504Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:02:13.204Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:02:23.170Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:02:29.790Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:02:44.895Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:03:03.767Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:03:13.800Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:04:56.889Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:05:06.840Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:05:28.143Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:05:43.063Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:06:09.024Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:06:29.156Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T03:07:12.994Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T03:07:35.548Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T06:10:15.823Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T06:10:35.815Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T06:10:59.851Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T06:11:23.439Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T06:11:28.593Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T06:11:38.614Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T06:11:47.074Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T06:12:02.222Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T06:12:12.898Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T06:12:27.808Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T06:12:45.511Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T06:12:55.577Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:08:09.747Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:08:34.698Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:08:39.804Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:08:49.839Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:09:46.064Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:09:56.241Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:30:27.566Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:30:48.459Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:32:26.674Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:32:41.788Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:35:18.939Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:35:29.019Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:35:36.557Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:35:51.435Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:35:56.593Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:36:06.828Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:36:14.891Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:36:29.787Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:36:47.664Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:37:11.981Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:58:23.280Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:58:33.269Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T07:59:17.619Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T07:59:36.424Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:00:20.479Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:00:30.587Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:01:05.171Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:01:15.274Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:01:26.250Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:01:36.102Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:12:38.216Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:12:48.029Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:22:07.148Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:22:17.086Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:29:37.560Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:29:47.675Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:30:12.003Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:30:21.864Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:48:18.228Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:48:33.194Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:56:45.993Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:57:16.835Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:57:21.817Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:57:44.071Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T08:58:01.351Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T08:58:25.021Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:00:08.057Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:00:23.063Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:07:44.182Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:08:04.217Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:08:12.604Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:08:27.460Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:08:32.702Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:08:54.435Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:09:22.274Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:09:41.086Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:11:16.578Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:11:26.703Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:19:45.104Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:19:55.141Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:22:16.632Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:22:31.703Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:25:40.213Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:25:55.164Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:26:00.844Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:26:15.721Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:26:58.853Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:27:13.774Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:31:07.784Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:31:17.658Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:31:22.519Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:31:39.077Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:33:21.168Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:33:31.231Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:35:08.315Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:35:18.254Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:35:46.465Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:35:56.475Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:36:30.371Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:36:45.398Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:38:01.063Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:38:11.084Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:38:18.897Z
binary_sensor.luminance_motion_sensor_movimiento,off,2026-03-10T09:38:33.866Z
binary_sensor.luminance_motion_sensor_movimiento,on,2026-03-10T09:39:53.742Z
