entity_id,state,last_changed
binary_sensor.sonoff_a4800f1cb7,off,2026-03-09T23:00:00.000Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T03:02:45.500Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T03:03:05.471Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T03:05:26.643Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T03:05:36.615Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T03:10:32.995Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T03:10:42.981Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T03:11:08.807Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T03:11:18.790Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T04:53:28.568Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T04:53:37.796Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T05:48:55.083Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T05:49:05.074Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:11:08.263Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:11:25.466Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:16:15.375Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:16:30.895Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:17:49.674Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:17:59.627Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:18:16.506Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:18:26.438Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:20:16.948Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:20:26.941Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:44:39.695Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:44:49.664Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:45:03.613Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:45:13.607Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:50:06.947Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:50:16.940Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T06:50:26.892Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T06:50:43.311Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:22:40.425Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:22:50.399Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:23:03.890Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:23:13.860Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:27:56.972Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:28:06.935Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:37:17.190Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:37:27.163Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:37:43.977Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:38:44.738Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:43:00.930Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:43:10.912Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:54:00.032Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:54:10.027Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:57:42.062Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:57:55.551Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:57:57.650Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:58:07.620Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T07:58:10.940Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T07:58:53.882Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T08:13:00.485Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T08:13:10.473Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T08:13:44.531Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T08:13:54.516Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T08:17:59.842Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T08:18:09.847Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T08:18:20.821Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T08:18:30.782Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T08:18:52.247Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T08:19:07.236Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:09:32.687Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:10:04.746Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:48:33.117Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:49:17.589Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:49:18.829Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:50:07.663Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:50:19.767Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:50:29.787Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:50:33.917Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:50:53.681Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:51:05.356Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:51:36.544Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:51:57.770Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:52:07.769Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:52:22.274Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:52:32.310Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:52:41.554Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:52:51.571Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:53:24.224Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:53:34.228Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:53:47.495Z
